id,uri,sigla,nome,apelido,codTipoOrgao,tipoOrgao,nomePublicacao,nomeResumido,idEventoContexto,data_captura
539822,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/539822,PL308020,"COMISSÃO ESPECIAL DESTINADA A PROFERIR PARECER AO PROJETO DE LEI Nº 3080, DE 2020, DO SENHOR ALEXANDRE FROTA, QUE ""INSTITUI A POLÍTICA PÚBLICA NACIONAL PARA GARANTIA, PROTEÇÃO E AMPLIAÇÃO DOS DIREITOS DAS PESSOAS COM TRANSTORNO DO ESPECTRO AUTISMO, E DÁ OUTRAS PROVIDÊNCIAS"", E APENSADOS",PL 3080/20 - POLÍTICA NACIONAL PARA PESSOAS COM AUTISMO,3,COMISSÃO ESPECIAL,COMISSÃO ESPECIAL DA POLÍTICA NACIONAL PARA PESSOAS COM AUTISMO (PL 3080/20),AUTISMO,81871,2026-06-03 08:38:48
537236,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/537236,CESPO,COMISSÃO DO ESPORTE,ESPORTE,2,COMISSÃO PERMANENTE,COMISSÃO DO ESPORTE,ESPORTES,81841,2026-06-03 08:38:48
539845,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/539845,PEC22119,"COMISSÃO ESPECIAL DESTINADA A PROFERIR PARECER À PROPOSTA DE EMENDA À CONSTITUIÇÃO Nº 221, DE 2019, DO SENHOR REGINALDO LOPES, QUE ""ALTERA O ART. 7º INCISO XII DA CONSTITUIÇÃO FEDERAL, REDUZINDO A JORNADA DE TRABALHO A 36 HORAS SEMANAIS EM 10 ANOS"", E APENSADA",PEC 221/19 - REDUÇÃO DA JORNADA DE TRABALHO,3,COMISSÃO ESPECIAL,COMISSÃO ESPECIAL SOBRE O FIM DA ESCALA 6X1 VIDA DIGNA AO TRABALHADOR (PEC 221/19),FIM DA ESCALA 6X1,81891,2026-06-03 08:38:48
539847,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/539847,GTMISOG,"GRUPO DE TRABALHO COM A FINALIDADE DE DISCUTIR O PL 896/2023, QUE “ALTERA A LEI Nº 7.716, DE 5 DE JANEIRO DE 1989, E O DECRETO-LEI Nº 2.848, DE 7 DE DEZEMBRO DE 1940 (CÓDIGO PENAL), PARA DISPOR SOBRE CRIMES PRATICADOS EM RAZÃO DE MISOGINIA",GT - CRIMES PRATICADOS EM RAZÃO DE MISOGINIA,10,GRUPO DE TRABALHO,GRUPO DE TRABALHO SOBRE CRIMES PRATICADOS EM RAZÃO DE MISOGINIA,CRIME DE MISOGINIA,81894,2026-06-03 08:38:48
180,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/180,PLEN,PLENÁRIO,PLENÁRIO,26,PLENÁRIO VIRTUAL,PLENÁRIO,PLENÁRIO,81901,2026-06-03 08:38:48
539784,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/539784,SUB8J,SUBCOMISSÃO ESPECIAL DE FISCALIZAÇÃO E DIREITOS DOS PRESOS DO 8 DE JANEIRO,CSPCCO - FISCALIZAÇÃO E DIREITOS DOS PRESOS DO 8 DE JANEIRO,25,SUBCOMISSÃO,SUBCOMISSÃO ESPECIAL DOS DIREITOS DOS PRESOS DO 8 DE JANEIRO (CSPCCO/SUB8J),SEGURANÇA PÚBLICA,81912,2026-06-03 08:38:48
539388,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/539388,CASP,COMISSÃO DE ADMINISTRAÇÃO E SERVIÇO PÚBLICO,ADMINISTRAÇÃO E SERVIÇO PÚBLICO,2,COMISSÃO PERMANENTE,COMISSÃO DE ADMINISTRAÇÃO E SERVIÇO PÚBLICO,SERVIÇO PÚBLICO,81915,2026-06-03 08:38:48
539847,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/539847,GTMISOG,"GRUPO DE TRABALHO COM A FINALIDADE DE DISCUTIR O PL 896/2023, QUE “ALTERA A LEI Nº 7.716, DE 5 DE JANEIRO DE 1989, E O DECRETO-LEI Nº 2.848, DE 7 DE DEZEMBRO DE 1940 (CÓDIGO PENAL), PARA DISPOR SOBRE CRIMES PRATICADOS EM RAZÃO DE MISOGINIA",GT - CRIMES PRATICADOS EM RAZÃO DE MISOGINIA,10,GRUPO DE TRABALHO,GRUPO DE TRABALHO SOBRE CRIMES PRATICADOS EM RAZÃO DE MISOGINIA,CRIME DE MISOGINIA,81917,2026-06-03 08:38:48
2016,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2016,CVT,COMISSÃO DE VIAÇÃO E TRANSPORTES,VIAÇÃO E TRANSPORTES,2,COMISSÃO PERMANENTE,COMISSÃO DE VIAÇÃO E TRANSPORTES,VIAÇÃO E TRANSPORTES,81442,2026-06-03 08:38:48
2008,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2008,CDE,COMISSÃO DE DESENVOLVIMENTO ECONÔMICO,DESENVOLVIMENTO ECONÔMICO,2,COMISSÃO PERMANENTE,COMISSÃO DE DESENVOLVIMENTO ECONÔMICO,DESENVOLVIMENTO ECONÔMICO,81684,2026-06-03 08:38:48
111,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/111,CN,CONGRESSO NACIONAL,CONGRESSO NACIONAL,81001,ÓRGÃO DO CONGRESSO NACIONAL,CN,CONGRESSO NACIONAL,81702,2026-06-03 08:38:48
539388,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/539388,CASP,COMISSÃO DE ADMINISTRAÇÃO E SERVIÇO PÚBLICO,ADMINISTRAÇÃO E SERVIÇO PÚBLICO,2,COMISSÃO PERMANENTE,COMISSÃO DE ADMINISTRAÇÃO E SERVIÇO PÚBLICO,SERVIÇO PÚBLICO,81705,2026-06-03 08:38:48
5971,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/5971,COETICA,CONSELHO DE ÉTICA E DECORO PARLAMENTAR DA CÂMARA DOS DEPUTADOS,CONSELHO DE ÉTICA E DECORO PARLAMENTAR,11,CONSELHO,CONSELHO DE ÉTICA E DECORO PARLAMENTAR,CONSELHO DE ÉTICA,81842,2026-06-03 08:38:48
6174,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/6174,CMADS,COMISSÃO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL,MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL,2,COMISSÃO PERMANENTE,COMISSÃO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL,MEIO AMBIENTE,81843,2026-06-03 08:38:48
2015,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2015,CTRAB,COMISSÃO DE TRABALHO,TRABALHO,2,COMISSÃO PERMANENTE,COMISSÃO DE TRABALHO,TRABALHO,81855,2026-06-03 08:38:48
2009,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2009,CE,COMISSÃO DE EDUCAÇÃO,EDUCAÇÃO,2,COMISSÃO PERMANENTE,COMISSÃO DE EDUCAÇÃO,EDUCAÇÃO,81861,2026-06-03 08:38:48
2003,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2003,CCJC,COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA E DE CIDADANIA,CONSTITUIÇÃO E JUSTIÇA E DE CIDADANIA,2,COMISSÃO PERMANENTE,COMISSÃO DE CONSTITUIÇÃO E JUSTIÇA E DE CIDADANIA,CONSTITUIÇÃO E JUSTIÇA,81867,2026-06-03 08:38:48
539837,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/539837,CEXBRLEG,COMISSÃO EXTERNA DESTINADA A DISCUTIR OS ATOS DE PIRATARIA E A AGENDA DO CHAMADO “BRASIL LEGAL”,"ATOS DE PIRATARIA E AGENDA DO ""BRASIL LEGAL""",5,COMISSÃO EXTERNA,"COMISSÃO EXTERNA SOBRE OS ATOS DE PIRATARIA E A AGENDA DO ""BRASIL LEGAL""","PIRATARIA E A AGENDA DO ""BRASIL LEGAL""",81873,2026-06-03 08:38:48
2018,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2018,CREDN,COMISSÃO DE RELAÇÕES EXTERIORES E DE DEFESA NACIONAL,RELAÇÕES EXTERIORES E DE DEFESA NACIONAL,2,COMISSÃO PERMANENTE,COMISSÃO DE RELAÇÕES EXTERIORES E DE DEFESA NACIONAL,RELAÇÕES EXTERIORES,81896,2026-06-03 08:38:48
2002,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/ORGAOS/2002,CCTI,"COMISSÃO DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO","CIÊNCIA, TECNOLOGIA E INOVAÇÃO",2,COMISSÃO PERMANENTE,"COMISSÃO DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO",CIÊNCIA E TECNOLOGIA,81909,2026-06-03 08:38:48
