id,uri,sigla,nome,apelido,codTipoOrgao,tipoOrgao,nomePublicacao,nomeResumido,data_captura
100620,https://dadosabertos.camara.leg.br/api/v2/orgaos/100620,MPV42208,"Dá nova redação ao inciso II do § 2o-B do art. 17 da Lei no 8.666, de 21 de junho de 1993, que regulamenta o art. 37, inciso XXI, da Constituição, e institui normas para licitações e contratos da administração pública.",MPV42208,9,Comissão Medida Provisória,MPV42208,,2026-06-01 00:27:13
100621,https://dadosabertos.camara.leg.br/api/v2/orgaos/100621,MPV42308,"Abre crédito extraordinário, em favor dos Ministérios dos Transportes e da Integração Nacional, no valor global de R$ 613.752.057,00, para os fins que especifica.",MPV42308,9,Comissão Medida Provisória,MPV42308,,2026-06-01 00:27:13
100622,https://dadosabertos.camara.leg.br/api/v2/orgaos/100622,MPV42408,"Abre crédito extraordinário, em favor de diversos órgãos do Poder Executivo, no valor global de R$ 1.816.577.877,00, para os fins que especifica.",MPV42408,9,Comissão Medida Provisória,MPV42408,,2026-06-01 00:27:13
100743,https://dadosabertos.camara.leg.br/api/v2/orgaos/100743,MPV47609,dispõe sobre cencessão de IPI na aquisição de resíduos sólidos.,MPV47609,9,Comissão Medida Provisória,MPV47609,,2026-06-01 00:27:13
100627,https://dadosabertos.camara.leg.br/api/v2/orgaos/100627,MPV42608,"Altera o Anexo I da Lei n°11.134, de 15 de julho de 2005, para aumentar o valor da Vantagem Pecuniária Especial - VPE, devida aos militares da Polícia Militar do Distrito Federal e do Corpo de Bombeiros Militar do Distrito Federal.",MPV42608,9,Comissão Medida Provisória,MPV42608,,2026-06-01 00:27:13
100628,https://dadosabertos.camara.leg.br/api/v2/orgaos/100628,MPV42708,"Acrescenta e altera dispositivos na Lei no 5.917, de 10 de setembro de 1973, que aprova o Plano Nacional de Viação, reestrutura a VALEC - Engenharia, Construções e Ferrovias S.A., encerra o processo de liquidação e extingue a Empresa Brasileira de Planejamento de Transportes - GEIPOT, altera as Leis nos 9.060, de 14 de junho de 1995, e 11.297, de 9 de maio de 2006, e dá outras providências.",MPV42708,9,Comissão Medida Provisória,MPV42708,,2026-06-01 00:27:13
100629,https://dadosabertos.camara.leg.br/api/v2/orgaos/100629,MPV42808,Altera a legislação tributária federal e dá outras providências.,MPV42808,9,Comissão Medida Provisória,MPV42808,,2026-06-01 00:27:13
100630,https://dadosabertos.camara.leg.br/api/v2/orgaos/100630,MPV42908,"Autoriza a União a participar em Fundo de Garantia para a Construção Naval - FGCN, para a formação de seu patrimônio, e dá outras providências.",MPV42908,9,Comissão Medida Provisória,MPV42908,,2026-06-01 00:27:13
100633,https://dadosabertos.camara.leg.br/api/v2/orgaos/100633,MPV43008,"Abre crédito extraordinário, em favor do Ministério do Planejamento, Orçamento e Gestão, no valor de R$ 7.560.000.000,00, e dá outras providências.",MPV43008,9,Comissão Medida Provisória,MPV43008,,2026-06-01 00:27:13
100634,https://dadosabertos.camara.leg.br/api/v2/orgaos/100634,MPV43108,"Dispõe sobre a reestruturação do Plano Geral de Cargos do Poder Executivo - PGPE, de que trata a Lei nº 11.357, de 19 de outubro de 2006; do Plano Especial de Cargos da Cultura, de que trata a Lei nº 11.233, de 22 de dezembro de 2005, do Plano de Carreira dos Cargos Técnico-Administrativos em Educação, de que trata a Lei nº 11.091, de 12 de janeiro de 2005, da Carreira de Magistério Superior, do Plano Especial de Cargos do Departamento de Polícia Federal, de que trata a Lei nº 10.682, de 28 de maio de 2003, do Plano de Carreira dos Cargos de Reforma e Desenvolvimento Agrário, de que trata a Lei nº 11.090, de 7 de janeiro de 2005, da Carreira de Perito Federal Agrário, de que trata a Lei nº 10.550, de 13 de novembro de 2002, da Carreira da Previdência, da Saúde e do Trabalho, de que trata a",MPV43108,9,Comissão Medida Provisória,MPV43108,,2026-06-01 00:27:13
100636,https://dadosabertos.camara.leg.br/api/v2/orgaos/100636,MPV43208,"Institui medidas de estímulo à liquidação ou regularização de dívidas originárias de operações de crédito rural e de crédito fundiário, e dá outras providências.",MPV43208,9,Comissão Medida Provisória,MPV43208,,2026-06-01 00:27:13
100637,https://dadosabertos.camara.leg.br/api/v2/orgaos/100637,MPV43308,"Reduz a zero as alíquotas da Contribuição para o PIS/PASEP e da Contribuição para o Financiamento da Seguridade Social - COFINS incidentes na importação e na comercialização do mercado interno de farinha de trigo, trigo e pão comum e isenta do Adicional ao Frete para a Renovação da Marinha Mercante - AFRMM as cargas de trigo e de farinha de trigo, até 31 de dezembro de 2008.",MPV43308,9,Comissão Medida Provisória,MPV43308,,2026-06-01 00:27:13
