id,uri,sigla,nome,apelido,codTipoOrgao,tipoOrgao,nomePublicacao,nomeResumido,idEventoContexto,data_captura
539847,https://dadosabertos.camara.leg.br/api/v2/orgaos/539847,GTMISOG,"Grupo de Trabalho com a finalidade de discutir o PL 896/2023, que “altera a Lei nº 7.716, de 5 de janeiro de 1989, e o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para dispor sobre crimes praticados em razão de misoginia",GT - Crimes Praticados em Razão de Misoginia,10,Grupo de Trabalho,Grupo de Trabalho sobre Crimes Praticados em Razão de Misoginia,Crime de Misoginia,81917,2026-06-03 08:38:48
2016,https://dadosabertos.camara.leg.br/api/v2/orgaos/2016,CVT,Comissão de Viação e Transportes,Viação e Transportes,2,Comissão Permanente,Comissão de Viação e Transportes,Viação e Transportes,81442,2026-06-03 08:38:48
2008,https://dadosabertos.camara.leg.br/api/v2/orgaos/2008,CDE,Comissão de Desenvolvimento Econômico,Desenvolvimento Econômico,2,Comissão Permanente,Comissão de Desenvolvimento Econômico,Desenvolvimento Econômico,81684,2026-06-03 08:38:48
111,https://dadosabertos.camara.leg.br/api/v2/orgaos/111,CN,CONGRESSO NACIONAL,CONGRESSO NACIONAL,81001,Órgão do Congresso Nacional,CN,Congresso Nacional,81702,2026-06-03 08:38:48
539388,https://dadosabertos.camara.leg.br/api/v2/orgaos/539388,CASP,Comissão de Administração e Serviço Público,Administração e Serviço Público,2,Comissão Permanente,Comissão de Administração e Serviço Público,Serviço Público,81705,2026-06-03 08:38:48
5971,https://dadosabertos.camara.leg.br/api/v2/orgaos/5971,COETICA,Conselho de Ética e Decoro Parlamentar da Câmara dos Deputados,Conselho de Ética e Decoro Parlamentar,11,Conselho,Conselho de Ética e Decoro Parlamentar,Conselho de Ética,81842,2026-06-03 08:38:48
6174,https://dadosabertos.camara.leg.br/api/v2/orgaos/6174,CMADS,Comissão de Meio Ambiente e Desenvolvimento Sustentável,Meio Ambiente e Desenvolvimento Sustentável,2,Comissão Permanente,Comissão de Meio Ambiente e Desenvolvimento Sustentável,Meio Ambiente,81843,2026-06-03 08:38:48
2015,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,CTRAB,Comissão de Trabalho,Trabalho,2,Comissão Permanente,Comissão de Trabalho,Trabalho,81855,2026-06-03 08:38:48
2009,https://dadosabertos.camara.leg.br/api/v2/orgaos/2009,CE,Comissão de Educação,Educação,2,Comissão Permanente,Comissão de Educação,Educação,81861,2026-06-03 08:38:48
2003,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,CCJC,Comissão de Constituição e Justiça e de Cidadania,Constituição e Justiça e de Cidadania,2,Comissão Permanente,Comissão de Constituição e Justiça e de Cidadania,Constituição e Justiça,81867,2026-06-03 08:38:48
539837,https://dadosabertos.camara.leg.br/api/v2/orgaos/539837,CEXBRLEG,Comissão Externa destinada a discutir os atos de pirataria e a agenda do chamado “Brasil Legal”,"Atos de pirataria e agenda do ""Brasil Legal""",5,Comissão Externa,"Comissão Externa sobre os atos de pirataria e a agenda do ""Brasil Legal""","Pirataria e a agenda do ""Brasil Legal""",81873,2026-06-03 08:38:48
2018,https://dadosabertos.camara.leg.br/api/v2/orgaos/2018,CREDN,Comissão de Relações Exteriores e de Defesa Nacional,Relações Exteriores e de Defesa Nacional,2,Comissão Permanente,Comissão de Relações Exteriores e de Defesa Nacional,Relações Exteriores,81896,2026-06-03 08:38:48
2002,https://dadosabertos.camara.leg.br/api/v2/orgaos/2002,CCTI,"Comissão de Ciência, Tecnologia e Inovação","Ciência, Tecnologia e Inovação",2,Comissão Permanente,"Comissão de Ciência, Tecnologia e Inovação",Ciência e Tecnologia,81909,2026-06-03 08:38:48
2001,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,CAPADR,"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural","Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",2,Comissão Permanente,"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",Agropecuária,81927,2026-06-03 08:38:48
2001,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,CAPADR,"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural","Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",2,Comissão Permanente,"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",Agropecuária,81936,2026-06-03 08:38:48
5503,https://dadosabertos.camara.leg.br/api/v2/orgaos/5503,CSPCCO,Comissão de Segurança Pública e Combate ao Crime Organizado,Segurança Pública e Combate ao Crime Organizado,2,Comissão Permanente,Comissão de Segurança Pública e Combate ao Crime Organizado,Segurança Pública,82114,2026-06-03 08:38:48
2011,https://dadosabertos.camara.leg.br/api/v2/orgaos/2011,CFFC,Comissão de Fiscalização Financeira e Controle,Fiscalização Financeira e Controle,2,Comissão Permanente,Comissão de Fiscalização Financeira e Controle,Fiscalização Financeira,81567,2026-06-03 08:38:48
180,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,PLEN,Plenário,Plenário,26,Plenário Virtual,Plenário,Plenário,81587,2026-06-03 08:38:48
2004,https://dadosabertos.camara.leg.br/api/v2/orgaos/2004,CDC,Comissão de Defesa do Consumidor,Defesa do Consumidor,2,Comissão Permanente,Comissão de Defesa do Consumidor,Consumidor,81838,2026-06-03 08:38:48
2001,https://dadosabertos.camara.leg.br/api/v2/orgaos/2001,CAPADR,"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural","Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",2,Comissão Permanente,"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",Agropecuária,81845,2026-06-03 08:38:48
2006,https://dadosabertos.camara.leg.br/api/v2/orgaos/2006,CDU,Comissão de Desenvolvimento Urbano,Desenvolvimento Urbano,2,Comissão Permanente,Comissão de Desenvolvimento Urbano,Desenvolvimento Urbano,81847,2026-06-03 08:38:48
2012,https://dadosabertos.camara.leg.br/api/v2/orgaos/2012,CME,Comissão de Minas e Energia,Minas e Energia,2,Comissão Permanente,Comissão de Minas e Energia,Minas e Energia,81848,2026-06-03 08:38:48
2015,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,CTRAB,Comissão de Trabalho,Trabalho,2,Comissão Permanente,Comissão de Trabalho,Trabalho,81850,2026-06-03 08:38:48
2010,https://dadosabertos.camara.leg.br/api/v2/orgaos/2010,CFT,Comissão de Finanças e Tributação,Finanças e Tributação,2,Comissão Permanente,Comissão de Finanças e Tributação,Finanças e Tributação,81857,2026-06-03 08:38:48
2009,https://dadosabertos.camara.leg.br/api/v2/orgaos/2009,CE,Comissão de Educação,Educação,2,Comissão Permanente,Comissão de Educação,Educação,81862,2026-06-03 08:38:48
2003,https://dadosabertos.camara.leg.br/api/v2/orgaos/2003,CCJC,Comissão de Constituição e Justiça e de Cidadania,Constituição e Justiça e de Cidadania,2,Comissão Permanente,Comissão de Constituição e Justiça e de Cidadania,Constituição e Justiça,81868,2026-06-03 08:38:48
2014,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,CSAUDE,Comissão de Saúde,Saúde,2,Comissão Permanente,Comissão de Saúde,Saúde,81878,2026-06-03 08:38:48
2018,https://dadosabertos.camara.leg.br/api/v2/orgaos/2018,CREDN,Comissão de Relações Exteriores e de Defesa Nacional,Relações Exteriores e de Defesa Nacional,2,Comissão Permanente,Comissão de Relações Exteriores e de Defesa Nacional,Relações Exteriores,81895,2026-06-03 08:38:48
2017,https://dadosabertos.camara.leg.br/api/v2/orgaos/2017,CINDRE,Comissão de Integração Nacional e Desenvolvimento Regional,Integração Nacional e Desenvolvimento Regional,2,Comissão Permanente,Comissão de Integração Nacional e Desenvolvimento Regional,Integração Nacional,81904,2026-06-03 08:38:48
537871,https://dadosabertos.camara.leg.br/api/v2/orgaos/537871,CIDOSO,Comissão de Defesa dos Direitos da Pessoa Idosa,Defesa dos Direitos da Pessoa Idosa,2,Comissão Permanente,Comissão de Defesa dos Direitos da Pessoa Idosa,Idosos,81926,2026-06-03 08:38:48
539385,https://dadosabertos.camara.leg.br/api/v2/orgaos/539385,CCOM,Comissão de Comunicação,Comunicação,2,Comissão Permanente,Comissão de Comunicação,Comunicação,81285,2026-06-03 08:38:48
100950,https://dadosabertos.camara.leg.br/api/v2/orgaos/100950,EVENTOS,Eventos,Outros Eventos,12000,Órgão da Câmara dos Deputados,Câmara dos Deputados - Outros Eventos,,81636,2026-06-03 08:38:48
6066,https://dadosabertos.camara.leg.br/api/v2/orgaos/6066,CTUR,Comissão de Turismo,Turismo,2,Comissão Permanente,Comissão de Turismo,Turismo,81757,2026-06-03 08:38:48
539360,https://dadosabertos.camara.leg.br/api/v2/orgaos/539360,PL808514,"Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 8085, de 2014, do Senado Federal, que ""altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para instituir a obrigatoriedade da prática de direção veicular em vias públicas para fins de formação de condutores""",PL 8085/14 - Alteração no Código de Trânsito Brasileiro,3,Comissão Especial,Comissão Especial sobre Alteração no Código de Trânsito Brasileiro (PL 8085/14),Código de Trânsito Brasileiro,81761,2026-06-03 08:38:48
536996,https://dadosabertos.camara.leg.br/api/v2/orgaos/536996,CCULT,Comissão de Cultura,Cultura,2,Comissão Permanente,Comissão de Cultura,Cultura,81864,2026-06-03 08:38:48
539385,https://dadosabertos.camara.leg.br/api/v2/orgaos/539385,CCOM,Comissão de Comunicação,Comunicação,2,Comissão Permanente,Comissão de Comunicação,Comunicação,81880,2026-06-03 08:38:48
536996,https://dadosabertos.camara.leg.br/api/v2/orgaos/536996,CCULT,Comissão de Cultura,Cultura,2,Comissão Permanente,Comissão de Cultura,Cultura,81881,2026-06-03 08:38:48
537870,https://dadosabertos.camara.leg.br/api/v2/orgaos/537870,CMULHER,Comissão de Defesa dos Direitos da Mulher,Defesa dos Direitos da Mulher,2,Comissão Permanente,Comissão de Defesa dos Direitos da Mulher,Mulher,81893,2026-06-03 08:38:48
2007,https://dadosabertos.camara.leg.br/api/v2/orgaos/2007,CDHMIR,"Comissão de Direitos Humanos, Minorias e Igualdade Racial","Direitos Humanos, Minorias e Igualdade Racial",2,Comissão Permanente,"Comissão de Direitos Humanos, Minorias e Igualdade Racial",Direitos Humanos,81906,2026-06-03 08:38:48
537870,https://dadosabertos.camara.leg.br/api/v2/orgaos/537870,CMULHER,Comissão de Defesa dos Direitos da Mulher,Defesa dos Direitos da Mulher,2,Comissão Permanente,Comissão de Defesa dos Direitos da Mulher,Mulher,81922,2026-06-03 08:38:48
100950,https://dadosabertos.camara.leg.br/api/v2/orgaos/100950,EVENTOS,Eventos,Outros Eventos,12000,Órgão da Câmara dos Deputados,Câmara dos Deputados - Outros Eventos,,81960,2026-06-03 08:38:48
180,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,PLEN,Plenário,Plenário,26,Plenário Virtual,Plenário,Plenário,81962,2026-06-03 08:38:48
